[2024-12-18 04:04:19 +0700] [30367] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:19 +0700] [30367] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:20 +0700] [30367] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:20 +0700] [30367] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:21 +0700] [30367] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:21 +0700] [30367] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:22 +0700] [30367] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:22 +0700] [30367] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:23 +0700] [30367] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:23 +0700] [30367] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:24 +0700] [30367] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:04:26 +0700] [30415] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:04:26 +0700] [30415] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:26 +0700] [30415] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:27 +0700] [30415] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:27 +0700] [30415] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:28 +0700] [30415] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:28 +0700] [30415] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:29 +0700] [30415] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:29 +0700] [30415] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:30 +0700] [30415] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:30 +0700] [30415] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:31 +0700] [30415] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:04:32 +0700] [30470] [INFO] Starting gunicorn 23.0.0
